Squad,W,D,L,Pts/MP,GD,xGD,Season,League
Fiorentina,15,11,12,1.47,10,11.7,2022-2023,Serie A
Bologna,14,12,12,1.42,4,-4.9,2022-2023,Serie A
Torino,14,11,13,1.39,1,1.8,2022-2023,Serie A
Monza,14,10,14,1.37,-4,-5.4,2022-2023,Serie A
Udinese,11,13,14,1.21,-1,-4.9,2022-2023,Serie A
Sassuolo,12,9,17,1.18,-14,1.9,2022-2023,Serie A
Empoli,10,13,15,1.13,-12,-19.5,2022-2023,Serie A
Salernitana,9,15,14,1.11,-14,-30.5,2022-2023,Serie A
Lecce,8,12,18,0.95,-13,-6.1,2022-2023,Serie A
Spezia,6,13,19,0.82,-31,-18.0,2022-2023,Serie A
Hellas Verona,7,10,21,0.82,-28,-14.1,2022-2023,Serie A
Cremonese,5,12,21,0.71,-33,-27.4,2022-2023,Serie A
Sampdoria,3,10,25,0.5,-47,-32.2,2022-2023,Serie A
Inter,29,7,2,2.47,67,47.1,2023-2024,Serie A
Milan,22,9,7,1.97,27,20.8,2023-2024,Serie A
Juventus,19,14,5,1.87,23,24.6,2023-2024,Serie A
Atalanta,21,6,11,1.82,30,16.7,2023-2024,Serie A
Bologna,18,14,6,1.79,22,10.9,2023-2024,Serie A
Roma,18,9,11,1.66,19,9.6,2023-2024,Serie A
Lazio,18,7,13,1.61,10,4.5,2023-2024,Serie A
Fiorentina,17,9,12,1.58,15,3.6,2023-2024,Serie A
Torino,13,14,11,1.39,0,0.3,2023-2024,Serie A
Napoli,13,14,11,1.39,7,23.0,2023-2024,Serie A
Genoa,12,13,13,1.29,0,-7.1,2023-2024,Serie A
Monza,11,12,15,1.18,-12,-16.8,2023-2024,Serie A
Hellas Verona,9,11,18,1.0,-13,-10.7,2023-2024,Serie A
Lecce,8,14,16,1.0,-22,-10.2,2023-2024,Serie A
Udinese,6,19,13,0.97,-16,-10.0,2023-2024,Serie A
Cagliari,8,12,18,0.95,-26,-11.6,2023-2024,Serie A
Empoli,9,9,20,0.95,-25,-16.7,2023-2024,Serie A
Frosinone,8,11,19,0.92,-25,-12.0,2023-2024,Serie A
Sassuolo,7,9,22,0.79,-32,-21.8,2023-2024,Serie A
Salernitana,2,11,25,0.45,-49,-44.1,2023-2024,Serie A
Inter,20,8,3,2.19,39,29.6,2024-2025,Serie A
Napoli,19,7,4,2.13,23,17.6,2024-2025,Serie A
Atalanta,17,7,6,1.93,34,21.2,2024-2025,Serie A
Bologna,15,11,4,1.87,16,12.8,2024-2025,Serie A
Juventus,14,13,3,1.83,18,14.1,2024-2025,Serie A
Fiorentina,15,7,9,1.68,17,4.8,2024-2025,Serie A
Roma,15,7,8,1.73,15,12.1,2024-2025,Serie A
Lazio,15,7,8,1.73,9,12.7,2024-2025,Serie A
Milan,13,9,9,1.55,10,19.0,2024-2025,Serie A
Udinese,11,7,13,1.29,-6,-10.0,2024-2025,Serie A
Torino,9,12,9,1.3,0,-14.0,2024-2025,Serie A
Genoa,9,11,11,1.23,-9,-6.3,2024-2025,Serie A
Como,8,9,14,1.06,-9,2.4,2024-2025,Serie A
Hellas Verona,9,3,18,1.0,-29,-16.8,2024-2025,Serie A
Cagliari,7,8,15,0.97,-13,-10.3,2024-2025,Serie A
Parma,5,12,14,0.87,-14,-14.4,2024-2025,Serie A
